account_id,customer_id,account_type,balance,currency,interest_rate,opened_date,status,overdraft_protection,last_activity
ID000001,ID000001,risk,63.7,USD,7,2026-03-02,completed,overdraft_protection_1,last_activity_1
ID000002,ID000002,operations,77.4,USD,14,2026-03-03,approved,overdraft_protection_2,last_activity_2
ID000003,ID000003,retail,91.1,GBP,21,2026-03-04,rejected,overdraft_protection_3,last_activity_3
ID000004,ID000004,customer,104.8,EUR,28,2026-03-05,rejected,overdraft_protection_4,last_activity_4
ID000005,ID000005,risk,118.5,USD,35,2026-03-06,rejected,overdraft_protection_5,last_activity_5
ID000006,ID000006,retail,132.2,GBP,42,2026-03-07,rejected,overdraft_protection_6,last_activity_6
ID000007,ID000007,customer,145.9,USD,49,2026-03-08,approved,overdraft_protection_7,last_activity_7
ID000008,ID000008,customer,159.6,EUR,56,2026-03-09,completed,overdraft_protection_8,last_activity_8
ID000009,ID000009,retail,173.3,GBP,63,2026-03-10,approved,overdraft_protection_9,last_activity_9
ID000010,ID000010,operations,187.0,USD,70,2026-03-11,pending,overdraft_protection_10,last_activity_10
ID000011,ID000011,operations,200.7,USD,77,2026-03-12,approved,overdraft_protection_11,last_activity_11
ID000012,ID000012,customer,214.4,EUR,84,2026-03-13,completed,overdraft_protection_12,last_activity_12
ID000013,ID000013,credit,228.1,GBP,91,2026-03-14,approved,overdraft_protection_13,last_activity_13
ID000014,ID000014,credit,241.8,EUR,98,2026-03-15,approved,overdraft_protection_14,last_activity_14
ID000015,ID000015,operations,255.5,GBP,5,2026-03-16,pending,overdraft_protection_15,last_activity_15
ID000016,ID000016,retail,269.2,USD,12,2026-03-17,completed,overdraft_protection_16,last_activity_16
ID000017,ID000017,credit,282.9,GBP,19,2026-03-18,pending,overdraft_protection_17,last_activity_17
ID000018,ID000018,retail,296.6,EUR,26,2026-03-19,completed,overdraft_protection_18,last_activity_18
ID000019,ID000019,customer,310.3,USD,33,2026-03-20,completed,overdraft_protection_19,last_activity_19
ID000020,ID000020,retail,324.0,USD,40,2026-03-21,completed,overdraft_protection_20,last_activity_20
ID000021,ID000021,risk,337.7,USD,47,2026-03-22,approved,overdraft_protection_21,last_activity_21
ID000022,ID000022,customer,351.4,GBP,54,2026-03-23,pending,overdraft_protection_22,last_activity_22
ID000023,ID000023,risk,365.1,EUR,61,2026-03-24,completed,overdraft_protection_23,last_activity_23
ID000024,ID000024,risk,378.8,USD,68,2026-03-25,approved,overdraft_protection_24,last_activity_24
ID000025,ID000025,customer,392.5,USD,75,2026-03-26,approved,overdraft_protection_25,last_activity_25
ID000026,ID000026,retail,406.2,GBP,82,2026-03-27,approved,overdraft_protection_26,last_activity_26
ID000027,ID000027,customer,419.9,EUR,89,2026-03-28,completed,overdraft_protection_27,last_activity_27
ID000028,ID000028,retail,433.6,GBP,96,2026-03-01,completed,overdraft_protection_28,last_activity_28
ID000029,ID000029,credit,447.3,USD,3,2026-03-02,completed,overdraft_protection_29,last_activity_29
ID000030,ID000030,retail,461.0,EUR,10,2026-03-03,approved,overdraft_protection_30,last_activity_30
ID000031,ID000031,retail,474.7,EUR,17,2026-03-04,rejected,overdraft_protection_31,last_activity_31
ID000032,ID000032,customer,488.4,USD,24,2026-03-05,approved,overdraft_protection_32,last_activity_32
ID000033,ID000033,operations,502.1,USD,31,2026-03-06,rejected,overdraft_protection_33,last_activity_33
ID000034,ID000034,customer,515.8,USD,38,2026-03-07,pending,overdraft_protection_34,last_activity_34
ID000035,ID000035,retail,529.5,GBP,45,2026-03-08,completed,overdraft_protection_35,last_activity_35
ID000036,ID000036,customer,543.2,GBP,52,2026-03-09,pending,overdraft_protection_36,last_activity_36
ID000037,ID000037,credit,556.9,GBP,59,2026-03-10,completed,overdraft_protection_37,last_activity_37
ID000038,ID000038,retail,570.6,EUR,66,2026-03-11,pending,overdraft_protection_38,last_activity_38
ID000039,ID000039,operations,584.3,USD,73,2026-03-12,rejected,overdraft_protection_39,last_activity_39
ID000040,ID000040,risk,598.0,USD,80,2026-03-13,rejected,overdraft_protection_40,last_activity_40
ID000041,ID000041,customer,611.7,EUR,87,2026-03-14,rejected,overdraft_protection_41,last_activity_41
ID000042,ID000042,operations,625.4,USD,94,2026-03-15,approved,overdraft_protection_42,last_activity_42
ID000043,ID000043,credit,639.1,GBP,1,2026-03-16,rejected,overdraft_protection_43,last_activity_43
ID000044,ID000044,retail,652.8,USD,8,2026-03-17,pending,overdraft_protection_44,last_activity_44
ID000045,ID000045,credit,666.5,USD,15,2026-03-18,rejected,overdraft_protection_45,last_activity_45
ID000046,ID000046,risk,680.2,GBP,22,2026-03-19,rejected,overdraft_protection_46,last_activity_46
ID000047,ID000047,credit,693.9,USD,29,2026-03-20,approved,overdraft_protection_47,last_activity_47
ID000048,ID000048,customer,707.6,EUR,36,2026-03-21,completed,overdraft_protection_48,last_activity_48
ID000049,ID000049,customer,721.3,EUR,43,2026-03-22,completed,overdraft_protection_49,last_activity_49
ID000050,ID000050,customer,735.0,GBP,50,2026-03-23,completed,overdraft_protection_50,last_activity_50
ID000051,ID000051,customer,748.7,GBP,57,2026-03-24,rejected,overdraft_protection_51,last_activity_51
ID000052,ID000052,operations,762.4,USD,64,2026-03-25,rejected,overdraft_protection_52,last_activity_52
ID000053,ID000053,retail,776.1,USD,71,2026-03-26,pending,overdraft_protection_53,last_activity_53
ID000054,ID000054,credit,789.8,GBP,78,2026-03-27,rejected,overdraft_protection_54,last_activity_54
ID000055,ID000055,customer,803.5,EUR,85,2026-03-28,rejected,overdraft_protection_55,last_activity_55
ID000056,ID000056,risk,817.2,GBP,92,2026-03-01,completed,overdraft_protection_56,last_activity_56
ID000057,ID000057,operations,830.9,USD,99,2026-03-02,pending,overdraft_protection_57,last_activity_57
ID000058,ID000058,retail,844.6,EUR,6,2026-03-03,rejected,overdraft_protection_58,last_activity_58
ID000059,ID000059,customer,858.3,USD,13,2026-03-04,rejected,overdraft_protection_59,last_activity_59
ID000060,ID000060,risk,872.0,USD,20,2026-03-05,pending,overdraft_protection_60,last_activity_60
ID000061,ID000061,operations,885.7,USD,27,2026-03-06,approved,overdraft_protection_61,last_activity_61
ID000062,ID000062,operations,899.4,USD,34,2026-03-07,pending,overdraft_protection_62,last_activity_62
ID000063,ID000063,operations,913.1,USD,41,2026-03-08,approved,overdraft_protection_63,last_activity_63
ID000064,ID000064,credit,926.8,EUR,48,2026-03-09,approved,overdraft_protection_64,last_activity_64
ID000065,ID000065,operations,940.5,GBP,55,2026-03-10,pending,overdraft_protection_65,last_activity_65
ID000066,ID000066,customer,954.2,USD,62,2026-03-11,completed,overdraft_protection_66,last_activity_66
ID000067,ID000067,retail,967.9,USD,69,2026-03-12,pending,overdraft_protection_67,last_activity_67
ID000068,ID000068,retail,981.6,EUR,76,2026-03-13,approved,overdraft_protection_68,last_activity_68
ID000069,ID000069,customer,995.3,USD,83,2026-03-14,completed,overdraft_protection_69,last_activity_69
ID000070,ID000070,customer,1009.0,USD,90,2026-03-15,pending,overdraft_protection_70,last_activity_70
ID000071,ID000071,risk,1022.7,GBP,97,2026-03-16,pending,overdraft_protection_71,last_activity_71
ID000072,ID000072,operations,1036.4,USD,4,2026-03-17,pending,overdraft_protection_72,last_activity_72
ID000073,ID000073,operations,1050.1,GBP,11,2026-03-18,pending,overdraft_protection_73,last_activity_73
ID000074,ID000074,retail,1063.8,GBP,18,2026-03-19,rejected,overdraft_protection_74,last_activity_74
ID000075,ID000075,operations,1077.5,GBP,25,2026-03-20,rejected,overdraft_protection_75,last_activity_75
ID000076,ID000076,operations,1091.2,EUR,32,2026-03-21,completed,overdraft_protection_76,last_activity_76
ID000077,ID000077,retail,1104.9,GBP,39,2026-03-22,approved,overdraft_protection_77,last_activity_77
ID000078,ID000078,operations,1118.6,EUR,46,2026-03-23,completed,overdraft_protection_78,last_activity_78
ID000079,ID000079,retail,1132.3,USD,53,2026-03-24,rejected,overdraft_protection_79,last_activity_79
ID000080,ID000080,credit,1146.0,GBP,60,2026-03-25,completed,overdraft_protection_80,last_activity_80
ID000081,ID000081,customer,1159.7,GBP,67,2026-03-26,rejected,overdraft_protection_81,last_activity_81
ID000082,ID000082,customer,1173.4,USD,74,2026-03-27,rejected,overdraft_protection_82,last_activity_82
ID000083,ID000083,customer,1187.1,EUR,81,2026-03-28,rejected,overdraft_protection_83,last_activity_83
ID000084,ID000084,customer,1200.8,GBP,88,2026-03-01,approved,overdraft_protection_84,last_activity_84
ID000085,ID000085,customer,1214.5,EUR,95,2026-03-02,completed,overdraft_protection_85,last_activity_85
ID000086,ID000086,customer,1228.2,USD,2,2026-03-03,approved,overdraft_protection_86,last_activity_86
ID000087,ID000087,credit,1241.9,GBP,9,2026-03-04,rejected,overdraft_protection_87,last_activity_87
ID000088,ID000088,credit,1255.6,GBP,16,2026-03-05,completed,overdraft_protection_88,last_activity_88
ID000089,ID000089,retail,1269.3,EUR,23,2026-03-06,approved,overdraft_protection_89,last_activity_89
ID000090,ID000090,customer,1283.0,USD,30,2026-03-07,approved,overdraft_protection_90,last_activity_90
ID000091,ID000091,risk,1296.7,EUR,37,2026-03-08,approved,overdraft_protection_91,last_activity_91
ID000092,ID000092,credit,1310.4,GBP,44,2026-03-09,rejected,overdraft_protection_92,last_activity_92
ID000093,ID000093,risk,1324.1,EUR,51,2026-03-10,pending,overdraft_protection_93,last_activity_93
ID000094,ID000094,credit,1337.8,USD,58,2026-03-11,completed,overdraft_protection_94,last_activity_94
ID000095,ID000095,customer,1351.5,GBP,65,2026-03-12,approved,overdraft_protection_95,last_activity_95
ID000096,ID000096,credit,1365.2,EUR,72,2026-03-13,completed,overdraft_protection_96,last_activity_96
ID000097,ID000097,risk,1378.9,USD,79,2026-03-14,approved,overdraft_protection_97,last_activity_97
ID000098,ID000098,operations,1392.6,USD,86,2026-03-15,approved,overdraft_protection_98,last_activity_98
ID000099,ID000099,credit,1406.3,GBP,93,2026-03-16,completed,overdraft_protection_99,last_activity_99
ID000100,ID000100,operations,1420.0,USD,0,2026-03-17,approved,overdraft_protection_100,last_activity_100
