account_id,customer_id,account_type,balance,currency,interest_rate,opened_date,status,overdraft_protection,last_activity
ID000001,ID000001,risk,63.7,GBP,7,2026-03-02,approved,overdraft_protection_1,last_activity_1
ID000002,ID000002,customer,77.4,EUR,14,2026-03-03,rejected,overdraft_protection_2,last_activity_2
ID000003,ID000003,credit,91.1,EUR,21,2026-03-04,rejected,overdraft_protection_3,last_activity_3
ID000004,ID000004,credit,104.8,EUR,28,2026-03-05,pending,overdraft_protection_4,last_activity_4
ID000005,ID000005,customer,118.5,GBP,35,2026-03-06,approved,overdraft_protection_5,last_activity_5
ID000006,ID000006,retail,132.2,GBP,42,2026-03-07,approved,overdraft_protection_6,last_activity_6
ID000007,ID000007,risk,145.9,GBP,49,2026-03-08,completed,overdraft_protection_7,last_activity_7
ID000008,ID000008,customer,159.6,USD,56,2026-03-09,rejected,overdraft_protection_8,last_activity_8
ID000009,ID000009,operations,173.3,USD,63,2026-03-10,completed,overdraft_protection_9,last_activity_9
ID000010,ID000010,credit,187.0,USD,70,2026-03-11,completed,overdraft_protection_10,last_activity_10
ID000011,ID000011,customer,200.7,GBP,77,2026-03-12,rejected,overdraft_protection_11,last_activity_11
ID000012,ID000012,risk,214.4,EUR,84,2026-03-13,completed,overdraft_protection_12,last_activity_12
ID000013,ID000013,risk,228.1,USD,91,2026-03-14,approved,overdraft_protection_13,last_activity_13
ID000014,ID000014,retail,241.8,USD,98,2026-03-15,completed,overdraft_protection_14,last_activity_14
ID000015,ID000015,operations,255.5,USD,5,2026-03-16,approved,overdraft_protection_15,last_activity_15
ID000016,ID000016,customer,269.2,EUR,12,2026-03-17,pending,overdraft_protection_16,last_activity_16
ID000017,ID000017,credit,282.9,GBP,19,2026-03-18,pending,overdraft_protection_17,last_activity_17
ID000018,ID000018,operations,296.6,EUR,26,2026-03-19,completed,overdraft_protection_18,last_activity_18
ID000019,ID000019,retail,310.3,GBP,33,2026-03-20,completed,overdraft_protection_19,last_activity_19
ID000020,ID000020,operations,324.0,USD,40,2026-03-21,completed,overdraft_protection_20,last_activity_20
ID000021,ID000021,retail,337.7,EUR,47,2026-03-22,pending,overdraft_protection_21,last_activity_21
ID000022,ID000022,risk,351.4,USD,54,2026-03-23,completed,overdraft_protection_22,last_activity_22
ID000023,ID000023,operations,365.1,USD,61,2026-03-24,pending,overdraft_protection_23,last_activity_23
ID000024,ID000024,customer,378.8,EUR,68,2026-03-25,approved,overdraft_protection_24,last_activity_24
