transfer_id,from_account,to_account,amount,currency,transfer_type,status,initiated_at,completed_at,fee
ID000001,from_account_1,to_account_1,63.7,USD,retail,pending,2026-03-02,2026-03-02,fee_1
ID000002,from_account_2,to_account_2,77.4,USD,credit,rejected,2026-03-03,2026-03-03,fee_2
ID000003,from_account_3,to_account_3,91.1,GBP,customer,pending,2026-03-04,2026-03-04,fee_3
ID000004,from_account_4,to_account_4,104.8,GBP,retail,pending,2026-03-05,2026-03-05,fee_4
ID000005,from_account_5,to_account_5,118.5,GBP,risk,rejected,2026-03-06,2026-03-06,fee_5
ID000006,from_account_6,to_account_6,132.2,GBP,credit,completed,2026-03-07,2026-03-07,fee_6
ID000007,from_account_7,to_account_7,145.9,EUR,customer,pending,2026-03-08,2026-03-08,fee_7
ID000008,from_account_8,to_account_8,159.6,USD,credit,rejected,2026-03-09,2026-03-09,fee_8
ID000009,from_account_9,to_account_9,173.3,EUR,customer,completed,2026-03-10,2026-03-10,fee_9
ID000010,from_account_10,to_account_10,187.0,USD,customer,pending,2026-03-11,2026-03-11,fee_10
ID000011,from_account_11,to_account_11,200.7,USD,operations,rejected,2026-03-12,2026-03-12,fee_11
ID000012,from_account_12,to_account_12,214.4,EUR,risk,rejected,2026-03-13,2026-03-13,fee_12
ID000013,from_account_13,to_account_13,228.1,USD,credit,completed,2026-03-14,2026-03-14,fee_13
ID000014,from_account_14,to_account_14,241.8,USD,credit,completed,2026-03-15,2026-03-15,fee_14
ID000015,from_account_15,to_account_15,255.5,GBP,risk,completed,2026-03-16,2026-03-16,fee_15
ID000016,from_account_16,to_account_16,269.2,USD,customer,rejected,2026-03-17,2026-03-17,fee_16
ID000017,from_account_17,to_account_17,282.9,USD,retail,pending,2026-03-18,2026-03-18,fee_17
ID000018,from_account_18,to_account_18,296.6,EUR,operations,pending,2026-03-19,2026-03-19,fee_18
ID000019,from_account_19,to_account_19,310.3,EUR,retail,completed,2026-03-20,2026-03-20,fee_19
ID000020,from_account_20,to_account_20,324.0,USD,credit,completed,2026-03-21,2026-03-21,fee_20
ID000021,from_account_21,to_account_21,337.7,GBP,retail,pending,2026-03-22,2026-03-22,fee_21
ID000022,from_account_22,to_account_22,351.4,EUR,credit,completed,2026-03-23,2026-03-23,fee_22
ID000023,from_account_23,to_account_23,365.1,GBP,operations,completed,2026-03-24,2026-03-24,fee_23
ID000024,from_account_24,to_account_24,378.8,USD,credit,pending,2026-03-25,2026-03-25,fee_24
ID000025,from_account_25,to_account_25,392.5,EUR,operations,completed,2026-03-26,2026-03-26,fee_25
ID000026,from_account_26,to_account_26,406.2,EUR,customer,rejected,2026-03-27,2026-03-27,fee_26
ID000027,from_account_27,to_account_27,419.9,GBP,operations,rejected,2026-03-28,2026-03-28,fee_27
ID000028,from_account_28,to_account_28,433.6,USD,credit,completed,2026-03-01,2026-03-01,fee_28
ID000029,from_account_29,to_account_29,447.3,EUR,risk,pending,2026-03-02,2026-03-02,fee_29
ID000030,from_account_30,to_account_30,461.0,USD,risk,rejected,2026-03-03,2026-03-03,fee_30
ID000031,from_account_31,to_account_31,474.7,GBP,risk,completed,2026-03-04,2026-03-04,fee_31
ID000032,from_account_32,to_account_32,488.4,GBP,risk,approved,2026-03-05,2026-03-05,fee_32
ID000033,from_account_33,to_account_33,502.1,USD,risk,pending,2026-03-06,2026-03-06,fee_33
ID000034,from_account_34,to_account_34,515.8,GBP,risk,approved,2026-03-07,2026-03-07,fee_34
ID000035,from_account_35,to_account_35,529.5,USD,operations,pending,2026-03-08,2026-03-08,fee_35
ID000036,from_account_36,to_account_36,543.2,GBP,credit,rejected,2026-03-09,2026-03-09,fee_36
ID000037,from_account_37,to_account_37,556.9,USD,retail,completed,2026-03-10,2026-03-10,fee_37
ID000038,from_account_38,to_account_38,570.6,USD,risk,completed,2026-03-11,2026-03-11,fee_38
ID000039,from_account_39,to_account_39,584.3,EUR,customer,rejected,2026-03-12,2026-03-12,fee_39
ID000040,from_account_40,to_account_40,598.0,EUR,operations,rejected,2026-03-13,2026-03-13,fee_40
ID000041,from_account_41,to_account_41,611.7,EUR,customer,rejected,2026-03-14,2026-03-14,fee_41
ID000042,from_account_42,to_account_42,625.4,EUR,retail,rejected,2026-03-15,2026-03-15,fee_42
ID000043,from_account_43,to_account_43,639.1,EUR,credit,pending,2026-03-16,2026-03-16,fee_43
ID000044,from_account_44,to_account_44,652.8,USD,customer,approved,2026-03-17,2026-03-17,fee_44
ID000045,from_account_45,to_account_45,666.5,USD,customer,approved,2026-03-18,2026-03-18,fee_45
ID000046,from_account_46,to_account_46,680.2,EUR,credit,pending,2026-03-19,2026-03-19,fee_46
ID000047,from_account_47,to_account_47,693.9,USD,operations,pending,2026-03-20,2026-03-20,fee_47
ID000048,from_account_48,to_account_48,707.6,EUR,risk,completed,2026-03-21,2026-03-21,fee_48
ID000049,from_account_49,to_account_49,721.3,GBP,retail,pending,2026-03-22,2026-03-22,fee_49
ID000050,from_account_50,to_account_50,735.0,GBP,risk,rejected,2026-03-23,2026-03-23,fee_50
ID000051,from_account_51,to_account_51,748.7,USD,operations,approved,2026-03-24,2026-03-24,fee_51
ID000052,from_account_52,to_account_52,762.4,EUR,operations,approved,2026-03-25,2026-03-25,fee_52
ID000053,from_account_53,to_account_53,776.1,GBP,risk,completed,2026-03-26,2026-03-26,fee_53
ID000054,from_account_54,to_account_54,789.8,EUR,credit,approved,2026-03-27,2026-03-27,fee_54
ID000055,from_account_55,to_account_55,803.5,EUR,risk,approved,2026-03-28,2026-03-28,fee_55
ID000056,from_account_56,to_account_56,817.2,USD,customer,approved,2026-03-01,2026-03-01,fee_56
ID000057,from_account_57,to_account_57,830.9,GBP,operations,rejected,2026-03-02,2026-03-02,fee_57
ID000058,from_account_58,to_account_58,844.6,USD,risk,rejected,2026-03-03,2026-03-03,fee_58
ID000059,from_account_59,to_account_59,858.3,EUR,credit,pending,2026-03-04,2026-03-04,fee_59
ID000060,from_account_60,to_account_60,872.0,EUR,customer,approved,2026-03-05,2026-03-05,fee_60
ID000061,from_account_61,to_account_61,885.7,USD,credit,pending,2026-03-06,2026-03-06,fee_61
ID000062,from_account_62,to_account_62,899.4,EUR,operations,pending,2026-03-07,2026-03-07,fee_62
ID000063,from_account_63,to_account_63,913.1,GBP,customer,approved,2026-03-08,2026-03-08,fee_63
ID000064,from_account_64,to_account_64,926.8,USD,credit,pending,2026-03-09,2026-03-09,fee_64
