customer_id,credit_score,score_date,bureau,payment_history_pct,credit_utilization_pct,credit_age_months,num_accounts,num_inquiries,derogatory_marks
ID000001,7,2026-03-02,bureau_1,payment_history_pct_1,credit_utilization_pct_1,credit_age_months_1,num_accounts_1,num_inquiries_1,derogatory_marks_1
ID000002,14,2026-03-03,bureau_2,payment_history_pct_2,credit_utilization_pct_2,credit_age_months_2,num_accounts_2,num_inquiries_2,derogatory_marks_2
ID000003,21,2026-03-04,bureau_3,payment_history_pct_3,credit_utilization_pct_3,credit_age_months_3,num_accounts_3,num_inquiries_3,derogatory_marks_3
ID000004,28,2026-03-05,bureau_4,payment_history_pct_4,credit_utilization_pct_4,credit_age_months_4,num_accounts_4,num_inquiries_4,derogatory_marks_4
ID000005,35,2026-03-06,bureau_5,payment_history_pct_5,credit_utilization_pct_5,credit_age_months_5,num_accounts_5,num_inquiries_5,derogatory_marks_5
ID000006,42,2026-03-07,bureau_6,payment_history_pct_6,credit_utilization_pct_6,credit_age_months_6,num_accounts_6,num_inquiries_6,derogatory_marks_6
ID000007,49,2026-03-08,bureau_7,payment_history_pct_7,credit_utilization_pct_7,credit_age_months_7,num_accounts_7,num_inquiries_7,derogatory_marks_7
ID000008,56,2026-03-09,bureau_8,payment_history_pct_8,credit_utilization_pct_8,credit_age_months_8,num_accounts_8,num_inquiries_8,derogatory_marks_8
ID000009,63,2026-03-10,bureau_9,payment_history_pct_9,credit_utilization_pct_9,credit_age_months_9,num_accounts_9,num_inquiries_9,derogatory_marks_9
ID000010,70,2026-03-11,bureau_10,payment_history_pct_10,credit_utilization_pct_10,credit_age_months_10,num_accounts_10,num_inquiries_10,derogatory_marks_10
ID000011,77,2026-03-12,bureau_11,payment_history_pct_11,credit_utilization_pct_11,credit_age_months_11,num_accounts_11,num_inquiries_11,derogatory_marks_11
ID000012,84,2026-03-13,bureau_12,payment_history_pct_12,credit_utilization_pct_12,credit_age_months_12,num_accounts_12,num_inquiries_12,derogatory_marks_12
ID000013,91,2026-03-14,bureau_13,payment_history_pct_13,credit_utilization_pct_13,credit_age_months_13,num_accounts_13,num_inquiries_13,derogatory_marks_13
ID000014,98,2026-03-15,bureau_14,payment_history_pct_14,credit_utilization_pct_14,credit_age_months_14,num_accounts_14,num_inquiries_14,derogatory_marks_14
ID000015,5,2026-03-16,bureau_15,payment_history_pct_15,credit_utilization_pct_15,credit_age_months_15,num_accounts_15,num_inquiries_15,derogatory_marks_15
ID000016,12,2026-03-17,bureau_16,payment_history_pct_16,credit_utilization_pct_16,credit_age_months_16,num_accounts_16,num_inquiries_16,derogatory_marks_16
ID000017,19,2026-03-18,bureau_17,payment_history_pct_17,credit_utilization_pct_17,credit_age_months_17,num_accounts_17,num_inquiries_17,derogatory_marks_17
ID000018,26,2026-03-19,bureau_18,payment_history_pct_18,credit_utilization_pct_18,credit_age_months_18,num_accounts_18,num_inquiries_18,derogatory_marks_18
ID000019,33,2026-03-20,bureau_19,payment_history_pct_19,credit_utilization_pct_19,credit_age_months_19,num_accounts_19,num_inquiries_19,derogatory_marks_19
ID000020,40,2026-03-21,bureau_20,payment_history_pct_20,credit_utilization_pct_20,credit_age_months_20,num_accounts_20,num_inquiries_20,derogatory_marks_20
ID000021,47,2026-03-22,bureau_21,payment_history_pct_21,credit_utilization_pct_21,credit_age_months_21,num_accounts_21,num_inquiries_21,derogatory_marks_21
ID000022,54,2026-03-23,bureau_22,payment_history_pct_22,credit_utilization_pct_22,credit_age_months_22,num_accounts_22,num_inquiries_22,derogatory_marks_22
ID000023,61,2026-03-24,bureau_23,payment_history_pct_23,credit_utilization_pct_23,credit_age_months_23,num_accounts_23,num_inquiries_23,derogatory_marks_23
ID000024,68,2026-03-25,bureau_24,payment_history_pct_24,credit_utilization_pct_24,credit_age_months_24,num_accounts_24,num_inquiries_24,derogatory_marks_24
ID000025,75,2026-03-26,bureau_25,payment_history_pct_25,credit_utilization_pct_25,credit_age_months_25,num_accounts_25,num_inquiries_25,derogatory_marks_25
ID000026,82,2026-03-27,bureau_26,payment_history_pct_26,credit_utilization_pct_26,credit_age_months_26,num_accounts_26,num_inquiries_26,derogatory_marks_26
ID000027,89,2026-03-28,bureau_27,payment_history_pct_27,credit_utilization_pct_27,credit_age_months_27,num_accounts_27,num_inquiries_27,derogatory_marks_27
ID000028,96,2026-03-01,bureau_28,payment_history_pct_28,credit_utilization_pct_28,credit_age_months_28,num_accounts_28,num_inquiries_28,derogatory_marks_28
ID000029,3,2026-03-02,bureau_29,payment_history_pct_29,credit_utilization_pct_29,credit_age_months_29,num_accounts_29,num_inquiries_29,derogatory_marks_29
ID000030,10,2026-03-03,bureau_30,payment_history_pct_30,credit_utilization_pct_30,credit_age_months_30,num_accounts_30,num_inquiries_30,derogatory_marks_30
ID000031,17,2026-03-04,bureau_31,payment_history_pct_31,credit_utilization_pct_31,credit_age_months_31,num_accounts_31,num_inquiries_31,derogatory_marks_31
ID000032,24,2026-03-05,bureau_32,payment_history_pct_32,credit_utilization_pct_32,credit_age_months_32,num_accounts_32,num_inquiries_32,derogatory_marks_32
ID000033,31,2026-03-06,bureau_33,payment_history_pct_33,credit_utilization_pct_33,credit_age_months_33,num_accounts_33,num_inquiries_33,derogatory_marks_33
ID000034,38,2026-03-07,bureau_34,payment_history_pct_34,credit_utilization_pct_34,credit_age_months_34,num_accounts_34,num_inquiries_34,derogatory_marks_34
ID000035,45,2026-03-08,bureau_35,payment_history_pct_35,credit_utilization_pct_35,credit_age_months_35,num_accounts_35,num_inquiries_35,derogatory_marks_35
ID000036,52,2026-03-09,bureau_36,payment_history_pct_36,credit_utilization_pct_36,credit_age_months_36,num_accounts_36,num_inquiries_36,derogatory_marks_36
ID000037,59,2026-03-10,bureau_37,payment_history_pct_37,credit_utilization_pct_37,credit_age_months_37,num_accounts_37,num_inquiries_37,derogatory_marks_37
ID000038,66,2026-03-11,bureau_38,payment_history_pct_38,credit_utilization_pct_38,credit_age_months_38,num_accounts_38,num_inquiries_38,derogatory_marks_38
ID000039,73,2026-03-12,bureau_39,payment_history_pct_39,credit_utilization_pct_39,credit_age_months_39,num_accounts_39,num_inquiries_39,derogatory_marks_39
ID000040,80,2026-03-13,bureau_40,payment_history_pct_40,credit_utilization_pct_40,credit_age_months_40,num_accounts_40,num_inquiries_40,derogatory_marks_40
ID000041,87,2026-03-14,bureau_41,payment_history_pct_41,credit_utilization_pct_41,credit_age_months_41,num_accounts_41,num_inquiries_41,derogatory_marks_41
ID000042,94,2026-03-15,bureau_42,payment_history_pct_42,credit_utilization_pct_42,credit_age_months_42,num_accounts_42,num_inquiries_42,derogatory_marks_42
ID000043,1,2026-03-16,bureau_43,payment_history_pct_43,credit_utilization_pct_43,credit_age_months_43,num_accounts_43,num_inquiries_43,derogatory_marks_43
ID000044,8,2026-03-17,bureau_44,payment_history_pct_44,credit_utilization_pct_44,credit_age_months_44,num_accounts_44,num_inquiries_44,derogatory_marks_44
ID000045,15,2026-03-18,bureau_45,payment_history_pct_45,credit_utilization_pct_45,credit_age_months_45,num_accounts_45,num_inquiries_45,derogatory_marks_45
ID000046,22,2026-03-19,bureau_46,payment_history_pct_46,credit_utilization_pct_46,credit_age_months_46,num_accounts_46,num_inquiries_46,derogatory_marks_46
ID000047,29,2026-03-20,bureau_47,payment_history_pct_47,credit_utilization_pct_47,credit_age_months_47,num_accounts_47,num_inquiries_47,derogatory_marks_47
ID000048,36,2026-03-21,bureau_48,payment_history_pct_48,credit_utilization_pct_48,credit_age_months_48,num_accounts_48,num_inquiries_48,derogatory_marks_48
ID000049,43,2026-03-22,bureau_49,payment_history_pct_49,credit_utilization_pct_49,credit_age_months_49,num_accounts_49,num_inquiries_49,derogatory_marks_49
ID000050,50,2026-03-23,bureau_50,payment_history_pct_50,credit_utilization_pct_50,credit_age_months_50,num_accounts_50,num_inquiries_50,derogatory_marks_50
ID000051,57,2026-03-24,bureau_51,payment_history_pct_51,credit_utilization_pct_51,credit_age_months_51,num_accounts_51,num_inquiries_51,derogatory_marks_51
ID000052,64,2026-03-25,bureau_52,payment_history_pct_52,credit_utilization_pct_52,credit_age_months_52,num_accounts_52,num_inquiries_52,derogatory_marks_52
ID000053,71,2026-03-26,bureau_53,payment_history_pct_53,credit_utilization_pct_53,credit_age_months_53,num_accounts_53,num_inquiries_53,derogatory_marks_53
ID000054,78,2026-03-27,bureau_54,payment_history_pct_54,credit_utilization_pct_54,credit_age_months_54,num_accounts_54,num_inquiries_54,derogatory_marks_54
ID000055,85,2026-03-28,bureau_55,payment_history_pct_55,credit_utilization_pct_55,credit_age_months_55,num_accounts_55,num_inquiries_55,derogatory_marks_55
ID000056,92,2026-03-01,bureau_56,payment_history_pct_56,credit_utilization_pct_56,credit_age_months_56,num_accounts_56,num_inquiries_56,derogatory_marks_56
ID000057,99,2026-03-02,bureau_57,payment_history_pct_57,credit_utilization_pct_57,credit_age_months_57,num_accounts_57,num_inquiries_57,derogatory_marks_57
ID000058,6,2026-03-03,bureau_58,payment_history_pct_58,credit_utilization_pct_58,credit_age_months_58,num_accounts_58,num_inquiries_58,derogatory_marks_58
ID000059,13,2026-03-04,bureau_59,payment_history_pct_59,credit_utilization_pct_59,credit_age_months_59,num_accounts_59,num_inquiries_59,derogatory_marks_59
ID000060,20,2026-03-05,bureau_60,payment_history_pct_60,credit_utilization_pct_60,credit_age_months_60,num_accounts_60,num_inquiries_60,derogatory_marks_60
ID000061,27,2026-03-06,bureau_61,payment_history_pct_61,credit_utilization_pct_61,credit_age_months_61,num_accounts_61,num_inquiries_61,derogatory_marks_61
ID000062,34,2026-03-07,bureau_62,payment_history_pct_62,credit_utilization_pct_62,credit_age_months_62,num_accounts_62,num_inquiries_62,derogatory_marks_62
ID000063,41,2026-03-08,bureau_63,payment_history_pct_63,credit_utilization_pct_63,credit_age_months_63,num_accounts_63,num_inquiries_63,derogatory_marks_63
ID000064,48,2026-03-09,bureau_64,payment_history_pct_64,credit_utilization_pct_64,credit_age_months_64,num_accounts_64,num_inquiries_64,derogatory_marks_64
ID000065,55,2026-03-10,bureau_65,payment_history_pct_65,credit_utilization_pct_65,credit_age_months_65,num_accounts_65,num_inquiries_65,derogatory_marks_65
ID000066,62,2026-03-11,bureau_66,payment_history_pct_66,credit_utilization_pct_66,credit_age_months_66,num_accounts_66,num_inquiries_66,derogatory_marks_66
ID000067,69,2026-03-12,bureau_67,payment_history_pct_67,credit_utilization_pct_67,credit_age_months_67,num_accounts_67,num_inquiries_67,derogatory_marks_67
ID000068,76,2026-03-13,bureau_68,payment_history_pct_68,credit_utilization_pct_68,credit_age_months_68,num_accounts_68,num_inquiries_68,derogatory_marks_68
ID000069,83,2026-03-14,bureau_69,payment_history_pct_69,credit_utilization_pct_69,credit_age_months_69,num_accounts_69,num_inquiries_69,derogatory_marks_69
ID000070,90,2026-03-15,bureau_70,payment_history_pct_70,credit_utilization_pct_70,credit_age_months_70,num_accounts_70,num_inquiries_70,derogatory_marks_70
ID000071,97,2026-03-16,bureau_71,payment_history_pct_71,credit_utilization_pct_71,credit_age_months_71,num_accounts_71,num_inquiries_71,derogatory_marks_71
ID000072,4,2026-03-17,bureau_72,payment_history_pct_72,credit_utilization_pct_72,credit_age_months_72,num_accounts_72,num_inquiries_72,derogatory_marks_72
ID000073,11,2026-03-18,bureau_73,payment_history_pct_73,credit_utilization_pct_73,credit_age_months_73,num_accounts_73,num_inquiries_73,derogatory_marks_73
