customer_id,segment,lifetime_value,tenure_months,num_products,engagement_score,churn_probability,last_contact,preferred_channel,segmented_date
ID000001,risk,2026-03-02,tenure_months_1,num_products_1,7,7,last_contact_1,preferred_channel_1,2026-03-02
ID000002,risk,2026-03-03,tenure_months_2,num_products_2,14,14,last_contact_2,preferred_channel_2,2026-03-03
ID000003,operations,2026-03-04,tenure_months_3,num_products_3,21,21,last_contact_3,preferred_channel_3,2026-03-04
ID000004,retail,2026-03-05,tenure_months_4,num_products_4,28,28,last_contact_4,preferred_channel_4,2026-03-05
ID000005,retail,2026-03-06,tenure_months_5,num_products_5,35,35,last_contact_5,preferred_channel_5,2026-03-06
ID000006,operations,2026-03-07,tenure_months_6,num_products_6,42,42,last_contact_6,preferred_channel_6,2026-03-07
ID000007,customer,2026-03-08,tenure_months_7,num_products_7,49,49,last_contact_7,preferred_channel_7,2026-03-08
ID000008,credit,2026-03-09,tenure_months_8,num_products_8,56,56,last_contact_8,preferred_channel_8,2026-03-09
ID000009,credit,2026-03-10,tenure_months_9,num_products_9,63,63,last_contact_9,preferred_channel_9,2026-03-10
ID000010,credit,2026-03-11,tenure_months_10,num_products_10,70,70,last_contact_10,preferred_channel_10,2026-03-11
ID000011,risk,2026-03-12,tenure_months_11,num_products_11,77,77,last_contact_11,preferred_channel_11,2026-03-12
ID000012,retail,2026-03-13,tenure_months_12,num_products_12,84,84,last_contact_12,preferred_channel_12,2026-03-13
ID000013,risk,2026-03-14,tenure_months_13,num_products_13,91,91,last_contact_13,preferred_channel_13,2026-03-14
ID000014,credit,2026-03-15,tenure_months_14,num_products_14,98,98,last_contact_14,preferred_channel_14,2026-03-15
ID000015,credit,2026-03-16,tenure_months_15,num_products_15,5,5,last_contact_15,preferred_channel_15,2026-03-16
ID000016,retail,2026-03-17,tenure_months_16,num_products_16,12,12,last_contact_16,preferred_channel_16,2026-03-17
ID000017,retail,2026-03-18,tenure_months_17,num_products_17,19,19,last_contact_17,preferred_channel_17,2026-03-18
ID000018,retail,2026-03-19,tenure_months_18,num_products_18,26,26,last_contact_18,preferred_channel_18,2026-03-19
ID000019,customer,2026-03-20,tenure_months_19,num_products_19,33,33,last_contact_19,preferred_channel_19,2026-03-20
ID000020,risk,2026-03-21,tenure_months_20,num_products_20,40,40,last_contact_20,preferred_channel_20,2026-03-21
ID000021,credit,2026-03-22,tenure_months_21,num_products_21,47,47,last_contact_21,preferred_channel_21,2026-03-22
ID000022,operations,2026-03-23,tenure_months_22,num_products_22,54,54,last_contact_22,preferred_channel_22,2026-03-23
ID000023,customer,2026-03-24,tenure_months_23,num_products_23,61,61,last_contact_23,preferred_channel_23,2026-03-24
ID000024,operations,2026-03-25,tenure_months_24,num_products_24,68,68,last_contact_24,preferred_channel_24,2026-03-25
ID000025,operations,2026-03-26,tenure_months_25,num_products_25,75,75,last_contact_25,preferred_channel_25,2026-03-26
ID000026,customer,2026-03-27,tenure_months_26,num_products_26,82,82,last_contact_26,preferred_channel_26,2026-03-27
ID000027,risk,2026-03-28,tenure_months_27,num_products_27,89,89,last_contact_27,preferred_channel_27,2026-03-28
ID000028,credit,2026-03-01,tenure_months_28,num_products_28,96,96,last_contact_28,preferred_channel_28,2026-03-01
ID000029,operations,2026-03-02,tenure_months_29,num_products_29,3,3,last_contact_29,preferred_channel_29,2026-03-02
ID000030,credit,2026-03-03,tenure_months_30,num_products_30,10,10,last_contact_30,preferred_channel_30,2026-03-03
ID000031,credit,2026-03-04,tenure_months_31,num_products_31,17,17,last_contact_31,preferred_channel_31,2026-03-04
ID000032,operations,2026-03-05,tenure_months_32,num_products_32,24,24,last_contact_32,preferred_channel_32,2026-03-05
