product_id,product_category,portfolio,subscription_status,price,inventory_count,operation_sla_hours
PROD-6000,insurance,business,inactive,226.77,430,24
PROD-6001,insurance,premium,active,86.01,39,24
PROD-6002,credit_card,business,inactive,99.31,276,4
PROD-6003,credit_card,retail,active,118.0,78,8
PROD-6004,loan,business,inactive,102.61,238,48
PROD-6005,loan,retail,inactive,119.9,394,4
PROD-6006,insurance,business,active,283.11,152,48
PROD-6007,insurance,premium,trial,221.72,409,8
PROD-6008,insurance,retail,inactive,133.57,14,48
PROD-6009,savings,premium,trial,240.45,370,8
PROD-6010,insurance,retail,trial,162.57,464,48
PROD-6011,loan,retail,trial,131.44,443,48
PROD-6012,credit_card,retail,inactive,116.84,108,48
PROD-6013,savings,business,inactive,87.09,487,48
PROD-6014,savings,retail,inactive,10.72,276,4
PROD-6015,savings,retail,trial,25.24,490,4
PROD-6016,loan,retail,active,252.57,318,8
PROD-6017,credit_card,retail,inactive,202.49,288,8
PROD-6018,insurance,premium,inactive,231.23,85,4
PROD-6019,credit_card,business,active,175.71,475,24
PROD-6020,insurance,business,trial,63.51,303,8
PROD-6021,loan,premium,inactive,255.84,307,4
PROD-6022,loan,business,trial,131.37,189,4
PROD-6023,savings,retail,inactive,247.59,54,48
PROD-6024,savings,premium,inactive,213.66,222,8
PROD-6025,savings,premium,trial,233.52,238,48
PROD-6026,savings,business,active,250.07,44,24
PROD-6027,insurance,retail,inactive,173.11,342,48
PROD-6028,savings,retail,inactive,256.03,93,48
PROD-6029,credit_card,business,inactive,105.4,450,24
