forex_id,currency_pair,amount_from,amount_to,exchange_rate,timestamp,customer_id,fee_pct
ID000001,USD,63.7,63.7,7,2026-03-02,ID000001,fee_pct_1
ID000002,EUR,77.4,77.4,14,2026-03-03,ID000002,fee_pct_2
ID000003,EUR,91.1,91.1,21,2026-03-04,ID000003,fee_pct_3
ID000004,USD,104.8,104.8,28,2026-03-05,ID000004,fee_pct_4
ID000005,GBP,118.5,118.5,35,2026-03-06,ID000005,fee_pct_5
ID000006,USD,132.2,132.2,42,2026-03-07,ID000006,fee_pct_6
ID000007,EUR,145.9,145.9,49,2026-03-08,ID000007,fee_pct_7
ID000008,EUR,159.6,159.6,56,2026-03-09,ID000008,fee_pct_8
ID000009,EUR,173.3,173.3,63,2026-03-10,ID000009,fee_pct_9
ID000010,EUR,187.0,187.0,70,2026-03-11,ID000010,fee_pct_10
ID000011,USD,200.7,200.7,77,2026-03-12,ID000011,fee_pct_11
ID000012,GBP,214.4,214.4,84,2026-03-13,ID000012,fee_pct_12
ID000013,GBP,228.1,228.1,91,2026-03-14,ID000013,fee_pct_13
ID000014,GBP,241.8,241.8,98,2026-03-15,ID000014,fee_pct_14
ID000015,GBP,255.5,255.5,5,2026-03-16,ID000015,fee_pct_15
ID000016,GBP,269.2,269.2,12,2026-03-17,ID000016,fee_pct_16
ID000017,USD,282.9,282.9,19,2026-03-18,ID000017,fee_pct_17
ID000018,EUR,296.6,296.6,26,2026-03-19,ID000018,fee_pct_18
ID000019,EUR,310.3,310.3,33,2026-03-20,ID000019,fee_pct_19
ID000020,GBP,324.0,324.0,40,2026-03-21,ID000020,fee_pct_20
ID000021,USD,337.7,337.7,47,2026-03-22,ID000021,fee_pct_21
ID000022,USD,351.4,351.4,54,2026-03-23,ID000022,fee_pct_22
ID000023,USD,365.1,365.1,61,2026-03-24,ID000023,fee_pct_23
ID000024,GBP,378.8,378.8,68,2026-03-25,ID000024,fee_pct_24
ID000025,EUR,392.5,392.5,75,2026-03-26,ID000025,fee_pct_25
ID000026,GBP,406.2,406.2,82,2026-03-27,ID000026,fee_pct_26
ID000027,EUR,419.9,419.9,89,2026-03-28,ID000027,fee_pct_27
ID000028,GBP,433.6,433.6,96,2026-03-01,ID000028,fee_pct_28
ID000029,GBP,447.3,447.3,3,2026-03-02,ID000029,fee_pct_29
ID000030,USD,461.0,461.0,10,2026-03-03,ID000030,fee_pct_30
ID000031,GBP,474.7,474.7,17,2026-03-04,ID000031,fee_pct_31
ID000032,EUR,488.4,488.4,24,2026-03-05,ID000032,fee_pct_32
ID000033,USD,502.1,502.1,31,2026-03-06,ID000033,fee_pct_33
ID000034,USD,515.8,515.8,38,2026-03-07,ID000034,fee_pct_34
ID000035,EUR,529.5,529.5,45,2026-03-08,ID000035,fee_pct_35
