payment_id,account_id,payee,category,amount,payment_date,due_date,status,is_recurring
ID000001,ID000001,payee_1,customer,63.7,2026-03-02,2026-03-02,approved,False
ID000002,ID000002,payee_2,customer,77.4,2026-03-03,2026-03-03,rejected,False
ID000003,ID000003,payee_3,operations,91.1,2026-03-04,2026-03-04,rejected,False
ID000004,ID000004,payee_4,retail,104.8,2026-03-05,2026-03-05,pending,False
ID000005,ID000005,payee_5,customer,118.5,2026-03-06,2026-03-06,rejected,False
ID000006,ID000006,payee_6,customer,132.2,2026-03-07,2026-03-07,rejected,False
ID000007,ID000007,payee_7,customer,145.9,2026-03-08,2026-03-08,completed,True
ID000008,ID000008,payee_8,retail,159.6,2026-03-09,2026-03-09,approved,False
ID000009,ID000009,payee_9,credit,173.3,2026-03-10,2026-03-10,pending,False
ID000010,ID000010,payee_10,operations,187.0,2026-03-11,2026-03-11,rejected,False
ID000011,ID000011,payee_11,risk,200.7,2026-03-12,2026-03-12,pending,False
ID000012,ID000012,payee_12,operations,214.4,2026-03-13,2026-03-13,pending,False
ID000013,ID000013,payee_13,customer,228.1,2026-03-14,2026-03-14,completed,False
ID000014,ID000014,payee_14,customer,241.8,2026-03-15,2026-03-15,pending,True
ID000015,ID000015,payee_15,operations,255.5,2026-03-16,2026-03-16,pending,False
ID000016,ID000016,payee_16,operations,269.2,2026-03-17,2026-03-17,approved,False
ID000017,ID000017,payee_17,risk,282.9,2026-03-18,2026-03-18,completed,False
ID000018,ID000018,payee_18,customer,296.6,2026-03-19,2026-03-19,completed,False
ID000019,ID000019,payee_19,operations,310.3,2026-03-20,2026-03-20,approved,False
ID000020,ID000020,payee_20,risk,324.0,2026-03-21,2026-03-21,completed,False
ID000021,ID000021,payee_21,operations,337.7,2026-03-22,2026-03-22,pending,True
ID000022,ID000022,payee_22,risk,351.4,2026-03-23,2026-03-23,approved,False
ID000023,ID000023,payee_23,retail,365.1,2026-03-24,2026-03-24,approved,False
ID000024,ID000024,payee_24,credit,378.8,2026-03-25,2026-03-25,approved,False
ID000025,ID000025,payee_25,retail,392.5,2026-03-26,2026-03-26,approved,False
ID000026,ID000026,payee_26,customer,406.2,2026-03-27,2026-03-27,approved,False
ID000027,ID000027,payee_27,customer,419.9,2026-03-28,2026-03-28,approved,False
ID000028,ID000028,payee_28,operations,433.6,2026-03-01,2026-03-01,approved,True
ID000029,ID000029,payee_29,customer,447.3,2026-03-02,2026-03-02,pending,False
ID000030,ID000030,payee_30,risk,461.0,2026-03-03,2026-03-03,approved,False
ID000031,ID000031,payee_31,retail,474.7,2026-03-04,2026-03-04,completed,False
ID000032,ID000032,payee_32,customer,488.4,2026-03-05,2026-03-05,pending,False
ID000033,ID000033,payee_33,operations,502.1,2026-03-06,2026-03-06,pending,False
ID000034,ID000034,payee_34,operations,515.8,2026-03-07,2026-03-07,rejected,False
ID000035,ID000035,payee_35,customer,529.5,2026-03-08,2026-03-08,rejected,True
