payment_id,account_id,payee,category,amount,payment_date,due_date,status,is_recurring
ID000001,ID000001,payee_1,retail,63.7,2026-03-02,2026-03-02,approved,False
ID000002,ID000002,payee_2,risk,77.4,2026-03-03,2026-03-03,approved,False
ID000003,ID000003,payee_3,risk,91.1,2026-03-04,2026-03-04,pending,False
ID000004,ID000004,payee_4,risk,104.8,2026-03-05,2026-03-05,rejected,False
ID000005,ID000005,payee_5,retail,118.5,2026-03-06,2026-03-06,rejected,False
ID000006,ID000006,payee_6,risk,132.2,2026-03-07,2026-03-07,completed,False
ID000007,ID000007,payee_7,operations,145.9,2026-03-08,2026-03-08,approved,True
ID000008,ID000008,payee_8,operations,159.6,2026-03-09,2026-03-09,approved,False
ID000009,ID000009,payee_9,risk,173.3,2026-03-10,2026-03-10,approved,False
ID000010,ID000010,payee_10,credit,187.0,2026-03-11,2026-03-11,pending,False
ID000011,ID000011,payee_11,customer,200.7,2026-03-12,2026-03-12,pending,False
ID000012,ID000012,payee_12,retail,214.4,2026-03-13,2026-03-13,rejected,False
ID000013,ID000013,payee_13,customer,228.1,2026-03-14,2026-03-14,pending,False
ID000014,ID000014,payee_14,retail,241.8,2026-03-15,2026-03-15,pending,True
ID000015,ID000015,payee_15,operations,255.5,2026-03-16,2026-03-16,rejected,False
ID000016,ID000016,payee_16,risk,269.2,2026-03-17,2026-03-17,approved,False
ID000017,ID000017,payee_17,customer,282.9,2026-03-18,2026-03-18,pending,False
ID000018,ID000018,payee_18,retail,296.6,2026-03-19,2026-03-19,approved,False
ID000019,ID000019,payee_19,credit,310.3,2026-03-20,2026-03-20,rejected,False
ID000020,ID000020,payee_20,operations,324.0,2026-03-21,2026-03-21,completed,False
ID000021,ID000021,payee_21,credit,337.7,2026-03-22,2026-03-22,approved,True
ID000022,ID000022,payee_22,risk,351.4,2026-03-23,2026-03-23,rejected,False
ID000023,ID000023,payee_23,customer,365.1,2026-03-24,2026-03-24,approved,False
ID000024,ID000024,payee_24,customer,378.8,2026-03-25,2026-03-25,approved,False
ID000025,ID000025,payee_25,risk,392.5,2026-03-26,2026-03-26,completed,False
ID000026,ID000026,payee_26,risk,406.2,2026-03-27,2026-03-27,approved,False
ID000027,ID000027,payee_27,operations,419.9,2026-03-28,2026-03-28,rejected,False
ID000028,ID000028,payee_28,operations,433.6,2026-03-01,2026-03-01,rejected,True
ID000029,ID000029,payee_29,risk,447.3,2026-03-02,2026-03-02,pending,False
ID000030,ID000030,payee_30,credit,461.0,2026-03-03,2026-03-03,approved,False
ID000031,ID000031,payee_31,risk,474.7,2026-03-04,2026-03-04,pending,False
ID000032,ID000032,payee_32,risk,488.4,2026-03-05,2026-03-05,completed,False
ID000033,ID000033,payee_33,retail,502.1,2026-03-06,2026-03-06,approved,False
ID000034,ID000034,payee_34,retail,515.8,2026-03-07,2026-03-07,pending,False
ID000035,ID000035,payee_35,operations,529.5,2026-03-08,2026-03-08,completed,True
ID000036,ID000036,payee_36,customer,543.2,2026-03-09,2026-03-09,approved,False
ID000037,ID000037,payee_37,risk,556.9,2026-03-10,2026-03-10,completed,False
ID000038,ID000038,payee_38,retail,570.6,2026-03-11,2026-03-11,rejected,False
ID000039,ID000039,payee_39,retail,584.3,2026-03-12,2026-03-12,completed,False
ID000040,ID000040,payee_40,risk,598.0,2026-03-13,2026-03-13,completed,False
ID000041,ID000041,payee_41,retail,611.7,2026-03-14,2026-03-14,completed,False
ID000042,ID000042,payee_42,operations,625.4,2026-03-15,2026-03-15,rejected,True
ID000043,ID000043,payee_43,customer,639.1,2026-03-16,2026-03-16,pending,False
ID000044,ID000044,payee_44,credit,652.8,2026-03-17,2026-03-17,approved,False
ID000045,ID000045,payee_45,credit,666.5,2026-03-18,2026-03-18,pending,False
ID000046,ID000046,payee_46,customer,680.2,2026-03-19,2026-03-19,completed,False
ID000047,ID000047,payee_47,operations,693.9,2026-03-20,2026-03-20,rejected,False
ID000048,ID000048,payee_48,credit,707.6,2026-03-21,2026-03-21,pending,False
ID000049,ID000049,payee_49,credit,721.3,2026-03-22,2026-03-22,rejected,True
ID000050,ID000050,payee_50,credit,735.0,2026-03-23,2026-03-23,completed,False
ID000051,ID000051,payee_51,customer,748.7,2026-03-24,2026-03-24,rejected,False
ID000052,ID000052,payee_52,risk,762.4,2026-03-25,2026-03-25,completed,False
ID000053,ID000053,payee_53,risk,776.1,2026-03-26,2026-03-26,rejected,False
ID000054,ID000054,payee_54,credit,789.8,2026-03-27,2026-03-27,completed,False
ID000055,ID000055,payee_55,operations,803.5,2026-03-28,2026-03-28,approved,False
ID000056,ID000056,payee_56,retail,817.2,2026-03-01,2026-03-01,rejected,True
ID000057,ID000057,payee_57,operations,830.9,2026-03-02,2026-03-02,completed,False
ID000058,ID000058,payee_58,retail,844.6,2026-03-03,2026-03-03,pending,False
ID000059,ID000059,payee_59,risk,858.3,2026-03-04,2026-03-04,pending,False
ID000060,ID000060,payee_60,customer,872.0,2026-03-05,2026-03-05,approved,False
ID000061,ID000061,payee_61,customer,885.7,2026-03-06,2026-03-06,pending,False
ID000062,ID000062,payee_62,customer,899.4,2026-03-07,2026-03-07,pending,False
ID000063,ID000063,payee_63,operations,913.1,2026-03-08,2026-03-08,approved,True
ID000064,ID000064,payee_64,credit,926.8,2026-03-09,2026-03-09,rejected,False
ID000065,ID000065,payee_65,retail,940.5,2026-03-10,2026-03-10,rejected,False
ID000066,ID000066,payee_66,customer,954.2,2026-03-11,2026-03-11,rejected,False
ID000067,ID000067,payee_67,risk,967.9,2026-03-12,2026-03-12,rejected,False
ID000068,ID000068,payee_68,customer,981.6,2026-03-13,2026-03-13,pending,False
ID000069,ID000069,payee_69,customer,995.3,2026-03-14,2026-03-14,approved,False
ID000070,ID000070,payee_70,retail,1009.0,2026-03-15,2026-03-15,pending,True
ID000071,ID000071,payee_71,operations,1022.7,2026-03-16,2026-03-16,completed,False
ID000072,ID000072,payee_72,operations,1036.4,2026-03-17,2026-03-17,rejected,False
ID000073,ID000073,payee_73,operations,1050.1,2026-03-18,2026-03-18,approved,False
ID000074,ID000074,payee_74,credit,1063.8,2026-03-19,2026-03-19,rejected,False
ID000075,ID000075,payee_75,retail,1077.5,2026-03-20,2026-03-20,approved,False
ID000076,ID000076,payee_76,credit,1091.2,2026-03-21,2026-03-21,pending,False
ID000077,ID000077,payee_77,credit,1104.9,2026-03-22,2026-03-22,pending,True
ID000078,ID000078,payee_78,credit,1118.6,2026-03-23,2026-03-23,approved,False
ID000079,ID000079,payee_79,operations,1132.3,2026-03-24,2026-03-24,pending,False
ID000080,ID000080,payee_80,risk,1146.0,2026-03-25,2026-03-25,completed,False
ID000081,ID000081,payee_81,credit,1159.7,2026-03-26,2026-03-26,completed,False
ID000082,ID000082,payee_82,credit,1173.4,2026-03-27,2026-03-27,completed,False
ID000083,ID000083,payee_83,risk,1187.1,2026-03-28,2026-03-28,completed,False
ID000084,ID000084,payee_84,retail,1200.8,2026-03-01,2026-03-01,pending,True
ID000085,ID000085,payee_85,credit,1214.5,2026-03-02,2026-03-02,rejected,False
ID000086,ID000086,payee_86,operations,1228.2,2026-03-03,2026-03-03,approved,False
ID000087,ID000087,payee_87,customer,1241.9,2026-03-04,2026-03-04,completed,False
ID000088,ID000088,payee_88,operations,1255.6,2026-03-05,2026-03-05,completed,False
ID000089,ID000089,payee_89,risk,1269.3,2026-03-06,2026-03-06,completed,False
ID000090,ID000090,payee_90,customer,1283.0,2026-03-07,2026-03-07,rejected,False
ID000091,ID000091,payee_91,operations,1296.7,2026-03-08,2026-03-08,approved,True
ID000092,ID000092,payee_92,risk,1310.4,2026-03-09,2026-03-09,rejected,False
ID000093,ID000093,payee_93,risk,1324.1,2026-03-10,2026-03-10,rejected,False
ID000094,ID000094,payee_94,credit,1337.8,2026-03-11,2026-03-11,approved,False
ID000095,ID000095,payee_95,credit,1351.5,2026-03-12,2026-03-12,completed,False
ID000096,ID000096,payee_96,operations,1365.2,2026-03-13,2026-03-13,completed,False
ID000097,ID000097,payee_97,customer,1378.9,2026-03-14,2026-03-14,pending,False
ID000098,ID000098,payee_98,risk,1392.6,2026-03-15,2026-03-15,pending,True
ID000099,ID000099,payee_99,risk,1406.3,2026-03-16,2026-03-16,completed,False
ID000100,ID000100,payee_100,retail,1420.0,2026-03-17,2026-03-17,approved,False
